Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
8.586331,0.0,5.0
10.219778,3.1415927,5.0
35.17931,0.8017901,5.0
135.471,0.4512629,5.0
22.0,1.5707964,5.0
33.878025,5.009468,5.0
149.49478,1.6085998,5.0
27.094748,0.38328415,5.0
33.030212,0.0,5.0
28.264404,1.3429868,5.0
44.34242,0.5191461,5.0
57.36852,0.037726417,5.0
9.913638,2.0718868,5.0
18.398369,0.82384074,5.0
13.577729,1.0094367,5.0
94.83655,0.048219964,5.0
130.7009,0.048219964,5.0
186.5,0.0,5.0
19.829983,3.1924407,5.0
116.671745,0.48963106,5.0
7.024547,5.2934713,5.0
10.884829,0.26678482,5.0
160.59528,2.7755576E-17,5.0
70.42277,0.26533422,5.0
13.088745,5.7218256,5.0
15.304069,1.4237243,5.0
32.82353,1.3038468,5.0
122.22924,0.39313024,5.0
51.534653,0.7853982,5.0
16.93266,4.2052903,5.0
23.121,3.613389,5.0
130.24976,0.13863973,5.0
0.0,0.0,5.0
11.568423,7.292622,5.0
36.15785,2.1261742,5.0
58.137768,0.0,5.0
646.85345,0.46900144,5.0
197.24542,0.15057571,5.0
51.318264,0.8917371,5.0
38.406643,3.1708868,5.0
19.716513,7.5854926,5.0
90.60121,0.58235294,5.0
155.25262,0.0040579396,5.0
80.8437,4.3166523,5.0
51.73362,1.8094057,5.0
32.205,1.5682606,5.0
35.440094,1.7814333,5.0
57.99684,1.0618539,5.0
158.02847,0.0,5.0
38.78547,2.2942774,5.0
10.119653,7.5312314,5.0
57.14424,0.27165774,5.0
19.19746,2.0718868,5.0
1.6537774,0.82384074,5.0
51.71217,0.328711,5.0
