Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
140.9834,0.43541357,3.0
302.0,0.17353557,3.0
0.0,0.08622786,3.0
0.0,0.8318818,3.0
27.887085,0.77434444,3.0
410.4446,0.7308384,3.0
0.0,1.0398827,3.0
69.59757,0.0,3.0
413.86856,0.48093385,3.0
203.98288,1.3007673,3.0
0.0,0.035488054,3.0
3.0517578E-4,0.055609606,3.0
0.0,0.12164548,3.0
38.470768,0.47092962,3.0
0.0,1.6481067,3.0
57.881657,0.67114383,3.0
231.90549,0.011889023,3.0
101.607086,0.96605617,3.0
345.78406,1.1890763,3.0
714.027,2.8121312,3.0
0.0,0.07546474,3.0
0.0,0.0,3.0
67.0,1.309271,3.0
246.00456,0.10267072,3.0
165.22458,1.556078,3.0
108.70199,0.99672425,3.0
92.173584,0.86653954,3.0
0.0,0.9272952,3.0
0.0,0.0,3.0
545.8933,1.3140801,3.0
0.0,0.0,3.0
115.82864,4.2976623,3.0
72.47077,2.3067026,3.0
227.29732,0.4360819,3.0
34.798786,0.609404,3.0
332.09637,0.88439596,3.0
0.0,0.068322726,3.0
0.0,0.41932184,3.0
23.917828,0.18082249,3.0
0.0,0.56264985,3.0
0.0,0.38868168,3.0
0.0,2.4521334,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
102.83493,1.3421978,3.0
269.60748,3.5216439,3.0
0.0,1.0953112,3.0
0.0,0.3378942,3.0
0.0,0.8857125,3.0
0.0,0.38421455,3.0
29.134647,0.7889411,3.0
24.216532,0.5767627,3.0
363.65488,0.26249796,3.0
388.8962,0.40024066,3.0
22.14184,0.9491838,3.0
0.0,0.38831872,3.0
104.34202,0.49094692,3.0
0.0,1.5203718,3.0
0.0,0.635305,3.0
0.0,2.2565258,3.0
0.0,1.4934859,3.0
581.6655,0.0065751425,3.0
0.0,0.08213189,3.0
0.0,0.0,3.0
51.27663,0.0,3.0
25.638315,0.77830607,3.0
25.638315,0.8510253,3.0
28.814058,0.65254974,3.0
0.0,0.0968756,3.0
93.8501,0.5743048,3.0
101.607086,0.4587165,3.0
0.0,0.0,3.0
0.0,0.6315435,4.0
0.0,0.65435326,4.0
38.470768,1.0393759,4.0
0.0,0.24140996,4.0
0.0,0.15935165,4.0
0.0,1.595722,4.0
397.32095,0.99409366,4.0
112.73944,0.5810823,4.0
0.0,0.7355957,4.0
20.389915,1.0817662,4.0
350.0852,0.1132535,4.0
0.0,1.4914434,4.0
102.0,0.5743048,4.0
