Speed Angle vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
83.74366,-0.2044212,1.0
9.333333,-0.0,1.0
56.61272,-0.30499235,1.0
8.5,-1.5707964,1.0
17.0,1.5707964,1.0
80.50466,0.112028964,1.0
60.378494,0.112028964,1.0
157.9177,-0.10786003,1.0
64.636,-0.24216442,1.0
56.65792,0.09545372,1.0
27.0,-0.0,1.0
56.61272,0.30499235,1.0
94.38353,0.09018027,1.0
281.61853,-0.16047855,1.0
9.666667,-0.0,1.0
89.00632,0.075910196,1.0
10.4679575,-0.2044212,1.0
57.118298,0.23860933,1.0
81.0,-0.0,1.0
7.976528,-0.56192154,1.0
46.52956,0.49248576,1.0
52.873013,0.40158054,1.0
54.0,-0.0,1.0
45.35539,-0.12526657,1.0
27.914553,-0.2044212,1.0
53.0,-0.0,1.0
224.15396,-0.13874249,1.0
18.870907,-0.30499235,1.0
29.487795,-0.68692255,1.0
147.1207,0.091890655,1.0
23.041702,-0.23655781,1.0
45.721985,0.09858052,1.0
9.666667,-0.0,1.0
112.29426,0.15197228,1.0
56.14713,0.15197228,1.0
46.333332,0.0,1.0
84.0,-0.0,1.0
157.9177,-0.10786003,1.0
57.567352,-0.29977608,1.0
27.5,-0.0,1.0
179.80545,-0.094688065,1.0
137.16595,0.09858052,1.0
58.0,-0.0,1.0
58.0,0.0,1.0
29.0,-0.0,1.0
60.695305,-0.05604685,1.0
130.27759,-0.06529168,1.0
9.0,0.0,1.0
301.21255,0.08975817,1.0
23.970034,0.28546286,1.0
29.0,-0.0,1.0
215.53886,0.20558465,1.0
276.0,0.0,1.0
18.268965,0.21273178,1.0
28.29998,0.81871915,1.0
4.5,0.0,1.0
27.0,-0.0,1.0
7.976528,-0.56192154,1.0
14.391838,0.29977608,1.0
93.05912,0.49248576,1.0
77.0,-0.0,1.0
126.286385,0.06735826,1.0
