Time still vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Time still (sec)
4.575306,0.0,1.0
1.1144761,0.0,1.0
0.57908845,0.0,1.0
1.3350775,0.0,1.0
0.9429925,0.0,1.0
1.4592578,0.0,1.0
1.1259248,0.0,1.0
2.2812939,0.0,1.0
2.0,2.0,1.0
26.590477,11.0,1.0
3.2868211,0.0,1.0
2.0,0.0,1.0
3.3333316,2.0,5.0
3.5308619,0.0,5.0
6.356903,2.0,5.0
2.6567888,0.0,5.0
2.1801796,0.0,5.0
5.3187404,2.0,5.0
0.43995035,0.0,5.0
4.0522304,0.0,5.0
3.027027,0.0,5.0
2.2392352,0.0,5.0
2.3102303,0.0,5.0
6.393608,2.0,5.0
5.385882,4.0,5.0
7.013161,0.0,5.0
0.25813556,0.0,5.0
0.121211655,0.0,5.0
2.1838236,0.0,5.0
2.4320316,0.0,5.0
2.3102305,0.0,5.0
12.190123,2.0,5.0
3.7052479,0.0,5.0
9.077198,2.0,5.0
4.296294,0.0,5.0
2.8410933,0.0,5.0
2.745469,0.0,5.0
2.0,2.0,5.0
0.121211655,0.0,5.0
2.4320316,0.0,5.0
3.648855,0.0,5.0
8.740901,2.0,5.0
0.7575298,0.0,5.0
0.31874123,0.0,5.0
7.002726,0.0,5.0
2.1299357,0.0,5.0
4.3352313,2.0,5.0
3.6103897,2.0,5.0
4.0444436,2.0,5.0
5.6666665,0.0,5.0
3.423398,0.0,5.0
0.121211655,0.0,5.0
8.877969,0.0,5.0
5.8868704,0.0,5.0
1.5851842,0.0,5.0
11.472304,0.0,5.0
0.31874093,0.0,5.0
0.12121121,0.0,5.0
2.930386,0.0,5.0
6.19753,0.0,5.0
0.19752973,0.0,5.0
6.5135136,4.0,5.0
8.556383,0.0,5.0
3.3071797,0.0,5.0
2.3163538,0.0,5.0
17.77882,2.0,5.0
6.1268444,0.0,5.0
10.039729,5.0,5.0
4.9999986,3.0,5.0
2.4875607,0.0,5.0
1.1259248,0.0,5.0
9.711043,2.0,5.0
14.908871,5.0,5.0
6.7647767,3.0,5.0
5.977841,4.0,5.0
2.9644372,0.0,5.0
2.4592588,1.0,5.0
2.364071,0.0,5.0
0.64341086,0.0,5.0
0.0,0.0,5.0
10.756757,7.0,5.0
9.882388,5.0,5.0
0.121212065,0.0,5.0
1.2689532,0.0,5.0
0.87878776,0.0,5.0
2.1026702,1.0,5.0
1.7314181,0.0,5.0
7.2160153,3.0,5.0
0.7925922,0.0,5.0
2.786084,1.0,5.0
6.4706373,0.0,5.0
1.5135134,0.0,5.0
2.1975298,0.0,5.0
2.5904756,0.0,5.0
2.0,0.0,5.0
1.0573249,0.0,5.0
9.123647,5.0,5.0
11.377777,4.0,5.0
2.3102303,0.0,5.0
4.7110434,1.0,5.0
2.1975298,2.0,5.0
1.7647747,0.0,5.0
6.666666,4.0,5.0
2.7149096,0.0,5.0
2.2148128,0.0,5.0
2.4320316,0.0,5.0
2.5306122,0.0,5.0
2.3950603,2.0,5.0
0.24242324,0.0,5.0
0.121212065,0.0,5.0
13.766075,0.0,5.0
66.74589,0.0,5.0
2.27027,0.0,5.0
2.6812115,2.0,5.0
1.8370361,0.0,5.0
2.2053404,0.0,5.0
0.9999992,0.0,5.0
1.7647747,0.0,5.0
14.874931,5.0,5.0
12.908871,2.0,5.0
6.1625075,0.0,5.0
11.359583,2.0,5.0
16.788717,0.0,5.0
3.3399951,2.0,5.0
12.9553995,2.0,5.0
1.9727725,0.0,5.0
0.8051947,0.0,5.0
14.528204,4.0,5.0
105.502975,0.0,5.0
13.681212,4.0,5.0
0.36363587,0.0,5.0
0.12121173,0.0,5.0
8.997923,4.0,5.0
10.287128,7.0,5.0
6.08845,2.0,5.0
0.39505947,0.0,5.0
2.3102303,0.0,5.0
4.098765,4.0,5.0
5.4408345,0.0,5.0
3.648855,0.0,5.0
3.497316,0.0,5.0
9.207494,7.0,5.0
0.5238093,0.0,5.0
7.0392976,0.0,5.0
0.09876487,0.0,5.0
0.09876487,0.0,5.0
4.2868767,0.0,5.0
12.708148,5.0,5.0
3.3727312,0.0,5.0
0.9644359,0.0,5.0
0.91851807,0.0,5.0
2.324931,0.0,5.0
8.129835,0.0,5.0
8.31023,6.0,5.0
11.86579,0.0,5.0
9.805195,2.0,5.0
2.2424228,2.0,5.0
4.4125905,0.0,5.0
6.40287,1.0,5.0
1.6108658,0.0,5.0
3.6666646,0.0,5.0
2.930386,0.0,5.0
0.19752973,0.0,5.0
2.4320316,0.0,5.0
0.19752973,0.0,5.0
7.41247,2.0,5.0
0.0,0.0,5.0
4.0,2.0,5.0
1.2139944,0.0,5.0
6.280211,0.0,5.0
2.1838236,0.0,5.0
4.19753,0.0,5.0
2.6115525,0.0,5.0
1.8979592,0.0,5.0
6.8445883,3.0,5.0
2.3441465,0.0,5.0
0.7392462,0.0,5.0
0.30302927,0.0,5.0
1.6432388,0.0,5.0
9.7654295,0.0,5.0
6.788006,0.0,5.0
185.27827,0.0,2.0
0.19752973,0.0,2.0
