Speed angle changed vs. Modulus speed from (560, 343) to (790, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.116217,-0.9939948,3.0
0.0,0.0,3.0
15.116217,0.0,3.0
15.116217,0.0,3.0
0.0,0.0,3.0
15.116217,-1.4210174,3.0
0.0,0.0,3.0
12.5,0.5971767,3.0
12.5,-0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.116217,-1.3288631,3.0
49.0,-1.1364291,3.0
0.0,0.0,3.0
15.116217,-0.5971767,3.0
15.116217,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.116217,0.16310117,3.0
15.116217,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
7.5581083,0.10508028,3.0
30.232433,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
30.232433,0.0,3.0
15.116217,0.1882215,3.0
24.5,0.3413559,3.0
0.0,0.0,3.0
0.0,0.0,3.0
9.803627,1.4229685,3.0
0.0,0.0,3.0
8.5,0.95449936,3.0
4.0,-1.5707964,3.0
12.0,-0.0,3.0
30.232433,-1.6686263,3.0
7.5581083,0.0,3.0
73.5,0.5971767,3.0
8.5,1.2209407,3.0
8.5,2.04971,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
31.0,-0.13059573,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
19.0,-0.12721622,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
