Speed Angle vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
210.79196,-0.14759977,3.0
35.608986,0.66596925,3.0
23.739325,0.66596925,3.0
77.682045,0.1746722,3.0
63.436977,0.35415816,3.0
205.44403,-0.06575871,3.0
0.0,-0.06575871,3.0
13.5,0.0,3.0
27.0,-0.0,3.0
51.70348,-0.16514868,3.0
205.44403,-0.06575871,3.0
167.42926,0.033851605,3.0
0.0,0.033851605,3.0
0.0,0.033851605,3.0
251.14389,0.033851605,3.0
19.006578,-0.4636476,3.0
270.6335,0.031412955,3.0
32.626675,-0.26356387,3.0
59.70134,0.37739596,3.0
51.20791,0.4549142,3.0
8.20351,0.32855317,3.0
0.0,0.32855317,3.0
0.0,0.32855317,3.0
0.0,0.32855317,3.0
0.0,0.32855317,3.0
33.81157,-0.16839015,3.0
24.078575,0.38307706,3.0
26.348625,0.98805684,3.0
39.80089,0.37739596,3.0
0.0,0.37739596,3.0
0.0,0.37739596,3.0
27.82984,-0.3103874,3.0
217.91856,-0.06198944,3.0
223.13728,-0.10100644,3.0
51.70348,-0.16514868,3.0
0.0,-0.16514868,3.0
0.0,-0.16514868,3.0
27.901613,0.93804747,3.0
55.65968,0.3103874,3.0
139.45967,-0.32855317,3.0
0.0,-0.32855317,3.0
0.0,-0.32855317,3.0
83.546394,-0.83620185,3.0
47.20699,-0.4968108,3.0
318.14777,-0.084968425,3.0
261.39816,0.10347526,3.0
25.932606,0.33394507,3.0
0.0,0.33394507,3.0
147.64822,-0.43335384,3.0
105.48565,-0.053745657,3.0
0.0,-0.053745657,3.0
0.0,-0.053745657,3.0
59.70134,0.37739596,3.0
22.0,1.5707964,3.0
252.57277,-0.06735826,3.0
88.5353,0.15307869,3.0
51.70348,-0.16514868,3.0
302.0,-0.0,3.0
18.56071,0.47569522,3.0
537.8857,-0.0837588,3.0
251.14389,0.033851605,3.0
0.0,0.033851605,3.0
205.17615,-0.04143968,3.0
205.44403,-0.06575871,3.0
88.55632,-0.1663863,3.0
0.0,-0.1663863,3.0
22.0,1.5707964,3.0
0.0,1.5707964,3.0
98.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
67.30899,-0.23236673,3.0
112.0,-0.0,3.0
59.682495,-0.54616654,3.0
7.3333335,1.5707964,3.0
