X,Y,Z,Date And Time,Phone Id's
307,320,0,24/09/2014 11:02:52,YT910K6675876ded0861342065
459,320,0,24/09/2014 11:02:53,HT25TW5055273593c875a9898b00
876,302,0,24/09/2014 11:02:53,ZX1B23QFSP48abead89f52e3bb
221,347,0,24/09/2014 11:02:54,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:02:54,ZX1B23QBS53771758c578bbd85
374,302,0,24/09/2014 11:02:55,HT25TW5055273593c875a9898b00
432,320,0,24/09/2014 11:02:55,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:02:56,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:02:56,HT25TW5055273593c875a9898b00
432,320,0,24/09/2014 11:02:57,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:02:57,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:02:58,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:02:58,HT25TW5055273593c875a9898b00
660,177,0,24/09/2014 11:02:59,YT910K6675876ded0861342065
403,320,0,24/09/2014 11:02:59,HT25TW5055273593c875a9898b00
307,302,0,24/09/2014 11:02:59,ZX1B23QFSP48abead89f52e3bb
274,320,0,24/09/2014 11:02:59,TA92903URNf067ff16fcf8e045
403,302,0,24/09/2014 11:02:59,ZX1B23QBS53771758c578bbd85
340,320,0,24/09/2014 11:03:00,HT25TW5055273593c875a9898b00
307,302,0,24/09/2014 11:03:01,ZX1B23QFSP48abead89f52e3bb
274,320,0,24/09/2014 11:03:01,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:03:01,ZX1B23QBS53771758c578bbd85
459,347,0,24/09/2014 11:03:02,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:03:03,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:03,ZX1B23QBS53771758c578bbd85
221,302,0,24/09/2014 11:03:03,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:03:03,HT25TW5055273593c875a9898b00
340,320,0,24/09/2014 11:03:04,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:03:05,TA92903URNf067ff16fcf8e045
340,302,0,24/09/2014 11:03:05,ZX1B23QFSP48abead89f52e3bb
514,302,0,24/09/2014 11:03:05,ZX1B23QBS53771758c578bbd85
432,364,0,24/09/2014 11:03:05,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:03:06,YT910K6675876ded0861342065
374,320,0,24/09/2014 11:03:07,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:03:07,ZX1B23QFSP48abead89f52e3bb
403,302,0,24/09/2014 11:03:07,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:03:07,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:03:09,YT910K6675876ded0861342065
340,302,0,24/09/2014 11:03:09,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:03:09,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:03:09,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:03:10,HT25TW5055273593c875a9898b00
403,320,0,24/09/2014 11:03:11,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:03:11,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:03:11,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:03:13,ZX1B23QFSP48abead89f52e3bb
374,320,0,24/09/2014 11:03:13,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:03:13,TA92903URNf067ff16fcf8e045
459,347,0,24/09/2014 11:03:14,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:03:14,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:03:15,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:03:15,TA92903URNf067ff16fcf8e045
274,320,0,24/09/2014 11:03:16,YT910K6675876ded0861342065
403,320,0,24/09/2014 11:03:16,HT25TW5055273593c875a9898b00
459,302,0,24/09/2014 11:03:16,ZX1B23QFSP48abead89f52e3bb
542,364,0,24/09/2014 11:03:16,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:03:17,TA92903URNf067ff16fcf8e045
459,302,0,24/09/2014 11:03:18,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:03:19,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:03:19,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:03:19,HT25TW5055273593c875a9898b00
403,320,0,24/09/2014 11:03:20,HT25TW5055273593c875a9898b00
403,320,0,24/09/2014 11:03:20,ZX1B23QFSP48abead89f52e3bb
274,320,0,24/09/2014 11:03:20,TA92903URNf067ff16fcf8e045
374,320,0,24/09/2014 11:03:21,ZX1B23QBS53771758c578bbd85
403,302,0,24/09/2014 11:03:22,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:03:23,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:23,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:03:23,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:03:23,YT910K6675876ded0861342065
274,347,0,24/09/2014 11:03:24,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:25,ZX1B23QFSP48abead89f52e3bb
374,302,0,24/09/2014 11:03:25,ZX1B23QBS53771758c578bbd85
374,320,0,24/09/2014 11:03:25,HT25TW5055273593c875a9898b00
274,364,0,24/09/2014 11:03:26,TA92903URNf067ff16fcf8e045
432,320,0,24/09/2014 11:03:26,ZX1B23QFSP48abead89f52e3bb
374,302,0,24/09/2014 11:03:27,ZX1B23QBS53771758c578bbd85
274,364,0,24/09/2014 11:03:28,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:28,HT25TW5055273593c875a9898b00
403,320,0,24/09/2014 11:03:28,ZX1B23QFSP48abead89f52e3bb
374,302,0,24/09/2014 11:03:29,ZX1B23QBS53771758c578bbd85
459,347,0,24/09/2014 11:03:29,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:03:30,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:31,ZX1B23QFSP48abead89f52e3bb
221,320,0,24/09/2014 11:03:31,YT910K6675876ded0861342065
403,320,0,24/09/2014 11:03:31,HT25TW5055273593c875a9898b00
403,302,0,24/09/2014 11:03:32,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:03:32,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:03:33,ZX1B23QFSP48abead89f52e3bb
432,347,0,24/09/2014 11:03:33,HT25TW5055273593c875a9898b00
274,364,0,24/09/2014 11:03:34,TA92903URNf067ff16fcf8e045
403,302,0,24/09/2014 11:03:34,ZX1B23QBS53771758c578bbd85
432,302,0,24/09/2014 11:03:34,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:03:35,TA92903URNf067ff16fcf8e045
374,302,0,24/09/2014 11:03:36,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:03:36,HT25TW5055273593c875a9898b00
374,320,0,24/09/2014 11:03:36,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:03:37,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:37,HT25TW5055273593c875a9898b00
432,320,0,24/09/2014 11:03:38,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:03:38,ZX1B23QFSP48abead89f52e3bb
274,320,0,24/09/2014 11:03:38,YT910K6675876ded0861342065
459,347,0,24/09/2014 11:03:39,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:03:39,TA92903URNf067ff16fcf8e045
307,302,0,24/09/2014 11:03:40,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:03:40,ZX1B23QFSP48abead89f52e3bb
307,347,0,24/09/2014 11:03:41,TA92903URNf067ff16fcf8e045
307,302,0,24/09/2014 11:03:41,ZX1B23QBS53771758c578bbd85
374,302,0,24/09/2014 11:03:42,ZX1B23QFSP48abead89f52e3bb
432,364,0,24/09/2014 11:03:42,HT25TW5055273593c875a9898b00
274,320,0,24/09/2014 11:03:43,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:44,ZX1B23QFSP48abead89f52e3bb
432,302,0,24/09/2014 11:03:44,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:03:44,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:03:45,ZX1B23QFSP48abead89f52e3bb
403,302,0,24/09/2014 11:03:46,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:03:46,TA92903URNf067ff16fcf8e045
